User ID,Product ID,Product Name,Brand,Category,Price,Rating,Color,Size
1857,1168,Sweater,Nike,Men's Fashion,16,3.989201,Black,L
2664,888,T-shirt,Nike,Men's Fashion,84,0.377582,Red,L
2851,830,Shoes,Nike,Men's Fashion,26,2.304217,Blue,M
2010,1036,Shoes,H&M,Men's Fashion,116,1.17463,White,L
2748,841,Sweater,Gucci,Men's Fashion,101,0.617795,Black,L
2710,898,T-shirt,Zara,Men's Fashion,51,1.290281,White,L
1189,1144,Jeans,H&M,Men's Fashion,80,0.462977,Black,S
2254,906,T-shirt,Adidas,Men's Fashion,83,1.214785,Yellow,L
2771,1000,Shoes,Nike,Men's Fashion,82,3.552026,Black,M
2261,829,Jeans,Gucci,Men's Fashion,94,0.680737,Black,M
2064,1180,Jeans,Gucci,Men's Fashion,18,2.876134,Blue,L
1261,1031,Sweater,Gucci,Men's Fashion,116,2.292364,Yellow,XL
1525,898,Sweater,Zara,Men's Fashion,99,3.428831,Yellow,M
1024,983,Sweater,Adidas,Men's Fashion,62,4.596349,Yellow,M
2438,971,Dress,Gucci,Men's Fashion,93,0.420022,Red,M
2479,1163,Dress,H&M,Men's Fashion,26,0.424341,Black,M
2441,848,Sweater,Zara,Men's Fashion,84,1.56821,Black,S
2121,830,T-shirt,Zara,Men's Fashion,13,4.913028,Red,S
2253,872,T-shirt,Gucci,Men's Fashion,82,0.828605,Yellow,M
1255,1150,Sweater,Zara,Men's Fashion,77,2.744913,Yellow,M
2269,946,Sweater,Nike,Men's Fashion,28,2.727699,Yellow,XL
2776,876,Jeans,Gucci,Men's Fashion,118,3.674447,White,XL
1814,998,Sweater,H&M,Men's Fashion,82,2.907805,Black,S
2916,879,Sweater,Zara,Men's Fashion,47,0.974274,Red,M
1078,1035,Shoes,Zara,Men's Fashion,70,1.999633,Black,L
2151,1054,Shoes,Nike,Men's Fashion,37,0.921478,Black,XL
1967,1056,T-shirt,Zara,Men's Fashion,94,4.506048,Yellow,L
2417,1117,Sweater,H&M,Men's Fashion,14,3.965909,Yellow,M
2411,1043,Jeans,Gucci,Men's Fashion,74,0.95403,White,XL
2103,1050,Dress,Gucci,Men's Fashion,19,4.642164,Black,M
