User ID,Product ID,Product Name,Brand,Category,Price,Rating,Color,Size
2296,800,Sweater,Zara,Men's Fashion,93,2.987077,Yellow,M
2366,910,Shoes,Gucci,Men's Fashion,90,3.143706,Yellow,L
1006,1050,T-shirt,Adidas,Men's Fashion,45,0.636753,Yellow,L
1792,1200,Dress,Zara,Men's Fashion,31,0.198221,Blue,S
2119,1153,Shoes,Gucci,Men's Fashion,90,1.905683,Black,XL
2034,1129,Shoes,Zara,Men's Fashion,67,0.926695,Blue,XL
2201,879,Dress,Adidas,Men's Fashion,114,4.621083,Blue,L
1152,895,T-shirt,H&M,Men's Fashion,27,0.996318,Black,L
1472,1145,Jeans,Adidas,Men's Fashion,118,2.242414,Red,M
2348,1123,Sweater,Nike,Men's Fashion,43,0.135648,Yellow,XL
2271,962,T-shirt,Adidas,Men's Fashion,85,0.561069,Black,XL
2281,1120,Dress,Zara,Men's Fashion,74,2.01744,Yellow,M
1198,1199,T-shirt,Zara,Men's Fashion,57,4.9231,Black,S
1955,1064,Dress,Adidas,Men's Fashion,112,0.081129,Yellow,M
2898,1105,Jeans,Zara,Men's Fashion,46,2.166022,Black,S
1588,948,T-shirt,Nike,Men's Fashion,45,2.260115,Yellow,S
2752,945,Jeans,H&M,Men's Fashion,21,2.421364,White,M
2543,861,T-shirt,Zara,Men's Fashion,102,0.026524,White,S
1410,1121,T-shirt,Adidas,Men's Fashion,102,4.349975,White,XL
2727,934,Dress,Nike,Men's Fashion,111,4.648265,Yellow,S
1971,938,Dress,Nike,Men's Fashion,34,2.919955,Blue,S
1886,958,Jeans,H&M,Men's Fashion,93,3.675638,Yellow,XL
1357,1194,Shoes,Zara,Men's Fashion,31,4.89911,Yellow,S
1076,1193,Sweater,Adidas,Men's Fashion,105,1.180514,White,S
1750,1190,Shoes,Gucci,Men's Fashion,80,2.92101,White,M
1554,938,Sweater,Nike,Men's Fashion,21,3.303636,Black,S
1403,1013,Shoes,Nike,Men's Fashion,86,0.342248,White,M
2919,1105,Shoes,Gucci,Men's Fashion,99,4.724936,Black,L
2354,1006,Sweater,Zara,Men's Fashion,114,4.885683,Yellow,L
1429,825,Dress,Gucci,Men's Fashion,56,4.958157,Black,M
