product_id,product_name,brand,department,review_text,rating,recommended,customer_age,review_date,sentiment_score,sentiment_category,source_file
767,Intimates Intimate,Initmates,Intimate,Absolutely wonderful - silky and sexy and comfortable,4,True,33,2024-10-18,0.63,positive,kaggle_reviews
1080,Dresses Dresses,General,Dresses,"Love this dress! it's sooo pretty. i happened to find it in a store, and i'm glad i did bc i never would have ordered it online bc it's petite. i bought a petite and am 5'8"". i love the length on me- hits just a little below the knee. would definitely be a true midi on someone who is truly petite.",5,True,34,2024-11-09,0.34,positive,kaggle_reviews
1077,Dresses Dresses,General,Dresses,"I had such high hopes for this dress and really wanted it to work for me. i initially ordered the petite small (my usual size) but i found this to be outrageously small. so small in fact that i could not zip it up! i reordered it in petite medium, which was just ok. overall, the top half was comfortable and fit nicely, but the bottom half had a very tight under layer and several somewhat cheap (net) over layers. imo, a major design flaw was the net over layer sewn directly into the zipper - it c",3,False,60,2024-09-27,0.07,neutral,kaggle_reviews
1049,Pants Bottoms,General Petite,Bottoms,"I love, love, love this jumpsuit. it's fun, flirty, and fabulous! every time i wear it, i get nothing but great compliments!",5,True,50,2024-02-06,0.55,positive,kaggle_reviews
847,Blouses Tops,General,Tops,This shirt is very flattering to all due to the adjustable front tie. it is the perfect length to wear with leggings and it is sleeveless so it pairs well with any cardigan. love this shirt!!!,5,True,47,2024-11-30,0.51,positive,kaggle_reviews
1080,Dresses Dresses,General,Dresses,"I love tracy reese dresses, but this one is not for the very petite. i am just under 5 feet tall and usually wear a 0p in this brand. this dress was very pretty out of the package but its a lot of dress. the skirt is long and very full so it overwhelmed my small frame. not a stranger to alterations, shortening and narrowing the skirt would take away from the embellishment of the garment. i love the color and the idea of the style but it just did not work on me. i returned this dress.",2,False,49,2024-10-17,0.18,positive,kaggle_reviews
858,Knits Tops,General Petite,Tops,"I aded this in my basket at hte last mintue to see what it would look like in person. (store pick up). i went with teh darkler color only because i am so pale :-) hte color is really gorgeous, and turns out it mathced everythiing i was trying on with it prefectly. it is a little baggy on me and hte xs is hte msallet size (bummer, no petite). i decided to jkeep it though, because as i said, it matvehd everything. my ejans, pants, and the 3 skirts i waas trying on (of which i ]kept all ) oops.",5,True,39,2024-06-13,0.13,positive,kaggle_reviews
858,Knits Tops,General Petite,Tops,"I ordered this in carbon for store pick up, and had a ton of stuff (as always) to try on and used this top to pair (skirts and pants). everything went with it. the color is really nice charcoal with shimmer, and went well with pencil skirts, flare pants, etc. my only compaint is it is a bit big, sleeves are long and it doesn't go in petite. also a bit loose for me, but no xxs... so i kept it and wil ldecide later since the light color is already sold out in hte smallest size...",4,True,39,2024-06-22,0.17,positive,kaggle_reviews
1077,Dresses Dresses,General,Dresses,I love this dress. i usually get an xs but it runs a little snug in bust so i ordered up a size. very flattering and feminine with the usual retailer flair for style.,5,True,24,2024-06-26,0.0,neutral,kaggle_reviews
1077,Dresses Dresses,General,Dresses,"I'm 5""5' and 125 lbs. i ordered the s petite to make sure the length wasn't too long. i typically wear an xs regular in retailer dresses. if you're less busty (34b cup or smaller), a s petite will fit you perfectly (snug, but not tight). i love that i could dress it up for a party, or down for work. i love that the tulle is longer then the fabric underneath.",5,True,34,2024-03-04,0.2,positive,kaggle_reviews
